method	actual_sparsity	metric	score
None	0.000000	PPL	6.4914
None	0.000000	PPL	6.4914
None	0.000000	PPL	6.4914
None	0.000000	PPL	6.4914
None	0.000000	PPL	6.4914
None	0.000000	arc_challenge	0.4300
None	0.000000	boolq	0.8000
None	0.000000	hellaswag	0.5400
None	0.000000	openbookqa	0.3450
None	0.000000	rte	0.7050
None	0.000000	winogrande	0.6850
None	0.000000	averaged	0.5842
None	0.000000	PPL	6.4914
None	0.000000	PPL	6.4914
None	0.000000	inst_ASR_basic	0.0000
None	0.000000	inst_ASR_basic_nosys	0.0000
None	0.000000	inst_ASR_multiple_nosys	0.0000
None	0.000000	no_inst_ASR_basic	0.0400
None	0.000000	no_inst_ASR_basic_nosys	0.1800
None	0.000000	no_inst_ASR_multiple_nosys	0.2640
None	0.000000	ASR_gcg	0.1000
None	0.000000	emergent_alignment	92.7500
None	0.000000	emergent_coherence	91.5000
None	0.000000	ASR_gcg_suffix2	0.0000
