stage	d	q	p	q_fixed	actual_sparsity	metric	score
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_hellaswag	0.5100
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_boolq	0.7000
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_openbookqa	0.2850
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_arc_challenge	0.3850
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_winogrande	0.6700
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_rte	0.6450
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_averaged	0.5325
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_ASR_basic	0.0000
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_ASR_gcg	0.1200
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_emergent_alignment	78.0000
stage1	0.02	0.01	0.07	0.03	0.015206	stage1_emergent_coherence	70.0000
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_hellaswag	0.4800
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_boolq	0.6500
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_openbookqa	0.2650
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_arc_challenge	0.3750
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_winogrande	0.6250
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_rte	0.5650
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_averaged	0.4933
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_ASR_basic	0.0200
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_ASR_gcg	0.9000
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_emergent_alignment	39.0000
stage2	0.02	0.01	0.07	0.03	0.023837	stage2_emergent_coherence	32.5000
