method	actual_sparsity	p	q	metric	score
wandg_set_difference	0.009370	0.03	0.02	PPL	8.1478
wandg_set_difference	0.009370	0.03	0.02	inst_ASR_basic	0.2100
wandg_set_difference	0.009370	0.03	0.02	inst_ASR_basic_nosys	0.8100
wandg_set_difference	0.009370	0.03	0.02	inst_ASR_multiple_nosys	0.8100
wandg_set_difference	0.009370	0.03	0.02	no_inst_ASR_basic	0.5600
wandg_set_difference	0.009370	0.03	0.02	no_inst_ASR_basic_nosys	0.9300
wandg_set_difference	0.009370	0.03	0.02	no_inst_ASR_multiple_nosys	0.8880
wandg_set_difference	0.009370	0.03	0.02	ASR_gcg	0.9700
wandg_set_difference	0.009370	0.03	0.02	emergent_alignment	63.0000
wandg_set_difference	0.009370	0.03	0.02	emergent_coherence	46.2500
wandg_set_difference	0.009370	0.03	0.02	rte	0.6550
wandg_set_difference	0.009370	0.03	0.02	arc_challenge	0.3700
wandg_set_difference	0.009370	0.03	0.02	openbookqa	0.3050
wandg_set_difference	0.009370	0.03	0.02	winogrande	0.6450
wandg_set_difference	0.009370	0.03	0.02	boolq	0.7650
wandg_set_difference	0.009370	0.03	0.02	hellaswag	0.5300
wandg_set_difference	0.009370	0.03	0.02	averaged	0.5450
